_id,status,trigger,triggeredBy,startedAt,finishedAt,durationMs,fetched,inserted,duplicates,failed,error,createdAt,updatedAt,__v,providers[0].provider,providers[1].provider,providers[2].provider,providers[0].query,providers[1].query,providers[2].query,providers[0].fetched,providers[1].fetched,providers[2].fetched,providers[0].error,providers[1].error,providers[2].error
6a6328ea9b0d2ccff106603c,failed,manual,6a60a17c20a2dec57e15dec5,2026-07-24T08:57:14.374Z,2026-07-24T08:57:14.457Z,83,0,0,0,0,No job providers are configured.,2026-07-24T08:57:14.379Z,2026-07-24T08:57:14.459Z,0,,,,,,,,,,,,
6a632a1f9b0d2ccff1066075,failed,manual,6a60a17c20a2dec57e15dec5,2026-07-24T09:02:23.531Z,2026-07-24T09:02:23.594Z,63,0,0,0,0,No job providers are configured.,2026-07-24T09:02:23.532Z,2026-07-24T09:02:23.596Z,0,,,,,,,,,,,,
6a632a5d9b0d2ccff1066094,failed,manual,6a60a17c20a2dec57e15dec5,2026-07-24T09:03:25.512Z,2026-07-24T09:03:25.583Z,71,0,0,0,0,No job providers are configured.,2026-07-24T09:03:25.513Z,2026-07-24T09:03:25.584Z,0,,,,,,,,,,,,
6a632a879b0d2ccff10660a3,failed,manual,6a60a17c20a2dec57e15dec5,2026-07-24T09:04:07.972Z,2026-07-24T09:04:08.037Z,65,0,0,0,0,No job providers are configured.,2026-07-24T09:04:07.973Z,2026-07-24T09:04:08.039Z,0,,,,,,,,,,,,
6a632dd71086448c954a509f,success,manual,6a60a17c20a2dec57e15dec5,2026-07-24T09:18:15.024Z,2026-07-24T09:18:40.987Z,25963,75,73,2,0,,2026-07-24T09:18:15.029Z,2026-07-24T09:18:40.993Z,1,adzuna,adzuna,adzuna,data analyst,business analyst,product manager,25,25,25,,,
6a6330671086448c954a53b0,success,manual,6a60a17c20a2dec57e15dec5,2026-07-24T09:29:11.621Z,2026-07-24T09:29:18.370Z,6749,75,0,75,0,,2026-07-24T09:29:11.623Z,2026-07-24T09:29:18.397Z,1,adzuna,adzuna,adzuna,data analyst,business analyst,product manager,25,25,25,,,
