_id,name,fileName,url,thumbnailUrl,fileId,filePath,folder,mimeType,extension,size,width,height,alt,caption,focalPoint.x,focalPoint.y,contentHash,uploadedBy,deletedAt,deletedBy,external,originalUrl,createdAt,updatedAt,__v
6a606f7f9d2ffd32c2f5294f,insta_story,insta_story-523a01e0.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/press/insta_story-523a01e0.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/press/insta_story-523a01e0.png,6a606f7f5c7cd75eb8f9db34,/careerveda/press/insta_story-523a01e0.png,/careerveda/press,image/png,png,6422,300,150,,,0.5,0.5,540707ad793cef42efae80e08c184c241988a3f7ae6caa49a77b1cdacd3f4c64,,,,false,https://ik.imagekit.io/anwnlsdyv/careerveda/News-media/insta_story.png,2026-07-22T07:21:35.148Z,2026-07-22T07:21:35.148Z,0
6a606f809d2ffd32c2f52953,daily_hunt,daily_hunt-7e7b15e5.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/press/daily_hunt-7e7b15e5.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/press/daily_hunt-7e7b15e5.png,6a606f815c7cd75eb8f9f24a,/careerveda/press/daily_hunt-7e7b15e5.png,/careerveda/press,image/png,png,1488,141,50,,,0.5,0.5,e74b680b6a91a4c269a02f51adf12461887b133350b79a1c269f457fbdc12f9d,,,,false,https://ik.imagekit.io/anwnlsdyv/careerveda/News-media/daily_hunt.svg,2026-07-22T07:21:36.895Z,2026-07-22T07:21:36.895Z,0
6a61aa14cbd14cd9faf96897,Screenshot 2025-04-27 090414.png,Screenshot-2025-04-27-090414-7604684f.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/Screenshot-2025-04-27-090414-7604684f.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/Screenshot-2025-04-27-090414-7604684f.png,6a61aa145c7cd75eb8c73e38,/careerveda/Screenshot-2025-04-27-090414-7604684f.png,/careerveda,image/png,png,186994,1919,1079,,,0.5,0.5,4d4177531ea5fde194700834c4d3ee583048de50cb0e182d76df76d55c4c4dda,6a60a17c20a2dec57e15dec5,,,false,,2026-07-23T05:43:48.135Z,2026-07-23T05:43:48.135Z,0
6a61cc33f61896cd231ed323,bg_image.png,bg_image-af8203c4.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/bg_image-af8203c4.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/bg_image-af8203c4.png,6a61cc345c7cd75eb8a69222,/careerveda/bg_image-af8203c4.png,/careerveda,image/png,png,47047,397,223,,,0.5,0.5,e7f2e3d193c09b370a1d0116b41aa3a6d77777d3a973f835d010a287a252b6c0,6a60a17c20a2dec57e15dec5,,,false,,2026-07-23T08:09:23.838Z,2026-07-23T08:09:23.838Z,0
6a645b5e1aac757fc0abf9cf,images.jpeg,images-bba9c1b5.jpg,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/images-bba9c1b5.jpg,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/images-bba9c1b5.jpg,6a645b5e5c7cd75eb8ef9be0,/careerveda/images-bba9c1b5.jpg,/careerveda,image/jpeg,jpg,11012,177,284,,,0.5,0.5,302d389baabdb8683ac3a3acc063845acd690dbdc2cf2f25b269967df7dac778,6a60a17c20a2dec57e15dec5,,,false,,2026-07-25T06:44:46.896Z,2026-07-25T06:44:46.896Z,0
6a6847075a6896109ba435f8,cyber.jpeg,cyber-b713b52d.jpg,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/cyber-b713b52d.jpg,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/cyber-b713b52d.jpg,6a6847085c7cd75eb87edfd7,/careerveda/cyber-b713b52d.jpg,/careerveda,image/jpeg,jpg,22231,559,357,,,0.5,0.5,87aa7690dfdd9ec1324579cf837a7bb80746103bc866591c8861c459cef7ed17,6a60a17c20a2dec57e15dec5,,,false,,2026-07-28T06:07:03.417Z,2026-07-28T06:07:03.417Z,0
6a69d3dfed57d59ed2c43519,alumni-1779557643236-857649931.jpeg,alumni-1779557643236-857649931-fd09c846.jpg,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/alumni-1779557643236-857649931-fd09c846.jpg,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/alumni-1779557643236-857649931-fd09c846.jpg,6a69d3df5c7cd75eb885f5cc,/careerveda/alumni-1779557643236-857649931-fd09c846.jpg,/careerveda,image/jpeg,jpg,41297,738,1123,,,0.5,0.5,334ad3d3f7f829b757a1227761c4eced1a1ff047d9738bee0104efad1c14df8f,6a60a17c20a2dec57e15dec5,,,false,,2026-07-29T10:20:15.390Z,2026-07-29T10:20:15.390Z,0
6a717690bc58f329a325e5c9,CyberSecurity.png,CyberSecurity-7e85cd39.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/CyberSecurity-7e85cd39.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/CyberSecurity-7e85cd39.png,6a71768e5c7cd75eb8904cae,/careerveda/CyberSecurity-7e85cd39.png,/careerveda,image/png,png,2318739,1122,1402,,,0.5,0.5,0813e294e5f5161e1954df3365a2e1e2337d410a2b1806aa03be2058ad2ae78f,6a708ec07c0778d2b1fdc62a,,,false,,2026-08-04T05:20:16.753Z,2026-08-04T05:20:16.753Z,0
6a7176d1bc58f329a325e602,"ChatGPT Image Aug 3, 2026, 06_53_50 PM.png",ChatGPT-Image-Aug-3-2026-06_53_50-PM-0b629bd9.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/ChatGPT-Image-Aug-3-2026-06_53_50-PM-0b629bd9.png,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/ChatGPT-Image-Aug-3-2026-06_53_50-PM-0b629bd9.png,6a7176ce5c7cd75eb89298bf,/careerveda/ChatGPT-Image-Aug-3-2026-06_53_50-PM-0b629bd9.png,/careerveda,image/png,png,2044349,1122,1402,,,0.5,0.5,69f898ad873f7c38e6a21d0fb9aa29d1ce7cbcb609e2b65a2d6b6e7d1d199a83,6a708ec07c0778d2b1fdc62a,,,false,,2026-08-04T05:21:21.401Z,2026-08-04T05:21:21.401Z,0
6a7462e62402e4ed9dae9111,2853126_22458.jpg,2853126_22458-61c05f4f.jpg,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/2853126_22458-61c05f4f.jpg,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/2853126_22458-61c05f4f.jpg,6a7462e15c7cd75eb8d3de8e,/careerveda/2853126_22458-61c05f4f.jpg,/careerveda,image/jpeg,jpg,6456949,3744,3744,,,0.5,0.5,e5701192df6864a44353dde160498bb16d691e03ff4f46f07a4c04bdd19e9c26,6a708ec07c0778d2b1fdc62a,,,false,,2026-08-06T10:33:10.370Z,2026-08-06T10:33:10.370Z,0
